mode,n,avg_deg,edges,iters,seconds,speedup
seq,50000,8,400000,18,0.0065,1.0
omp,50000,8,400000,18,0.01,0.6499999999999999
hybrid,50000,8,400000,18,0.0075,0.8666666666666667
cuda,50000,8,400000,41,0.0197,0.3299492385786802
seq,200000,12,2400000,19,0.0353,1.0
omp,200000,12,2400000,19,0.0217,1.6267281105990783
hybrid,200000,12,2400000,19,0.0179,1.9720670391061452
cuda,200000,12,2400000,19,0.0065,5.430769230769231
seq,500000,16,8000000,19,0.1535,1.0
omp,500000,16,8000000,19,0.087,1.764367816091954
hybrid,500000,16,8000000,19,0.0387,3.96640826873385
cuda,500000,16,8000000,19,0.0136,11.286764705882353
